Entidad,ActivoTotal,Inversiones,CarteraTotal,CaptacionTotal,CapitalContable,ResultadoNeto,Fecha
Multiva,158990.899397,53944.51022,73573.056426,98913.670906,10001.277429,520.538329,2025-05-01
Banco Base,148482.276273,108714.565796,11081.564339,35478.457505,7600.583787,734.646962,2025-05-01
Sabadell,142592.579336,18958.238556,97719.811853,123029.717175,17374.196606,581.005362,2025-05-01
Barclays,140752.631783,19611.931298,0.0,0.0,8905.541364,374.036182,2025-05-01
CIBanco,140184.22205,75809.931388,16377.233383,51082.49009,5851.580692,99.201512,2025-05-01
Ve por Más,104922.035077,35147.359852,58098.201259,63709.781659,10082.751526,637.767615,2025-05-01
Intercam Banco,92720.896285,46190.99938,25150.980473,40966.787853,11612.221824,1223.181681,2025-05-01
Bansí,73201.938046,29247.634352,27044.611664,46198.970712,7573.994376,518.444051,2025-05-01
Actinver,72546.951321,12705.336276,28081.598309,43014.483082000006,6710.668396,184.497053,2025-05-01
Compartamos,62611.142577,0.0,54242.2639,40263.373537,17172.892867,2435.464966,2025-05-01
BIAfirme,58829.025059,57083.337121,235.431566,21.856272,1167.480082,62.761444,2025-05-01
Bancrea,51235.395349809995,1848.83462601,41851.91233068,44381.52110159,4686.686830449999,425.81240664999996,2025-05-01
MUFG Bank,42153.011915,7380.360009,8647.683536,29109.771424,9316.21406,571.972835,2025-05-01
Consubanco,35379.665517,911.33215,29401.459913,20594.611679,4615.818532,352.033649,2025-05-01
BNP Paribas México,23056.035617,6037.540409,0.0,0.0,5441.845953,95.128827,2025-05-01
Autofin,19492.40575725,4678.55534162,8763.52773825,17318.25530595,1654.99944108,125.76428251,2025-05-01
Bankaool,18609.943735,368.989289,10686.68363,14710.200888,1844.785751,-6.583893,2025-05-01
Inmobiliario Mexicano,16122.77434561,210.37032403999999,12595.20111453,13401.68411548,1854.5869988299999,66.5603795,2025-05-01
ICBC,12504.809714,246.638725,4328.277544,10216.93969,1309.227375,105.844789,2025-05-01
Mizuho Bank,11322.96558627,0.0,5889.84296621,6525.785778490001,4471.2298242,192.24559816,2025-05-01
Banco Covalto,9795.22011767,92.96013231,6496.6465665900005,8321.09402548,1177.17378316,75.65302593999999,2025-05-01
Bank of China,8324.18470951,0.0,4023.2984216100003,6007.31574396,2258.774291,81.72348584000001,2025-05-01
Volkswagen Bank,7629.04122,0.0,7098.119383,3517.84895,3559.440202,171.737951,2025-05-01
Banco S3,6633.458157,462.11931,54.028766,2625.532431,2490.925832,126.321526,2025-05-01
Banco Ualá,6584.20546,3733.493005,688.475826,5478.201263,851.264294,-489.763889,2025-05-01
Shinhan,6465.563602,1633.658444,4088.335099,4543.03651,1882.219719,51.422289,2025-05-01
KEB Hana México,5886.576642,1855.499262,3958.567032,4050.759984,1747.625167,21.598077,2025-05-01
Openbank,5753.590695,3113.196704,57.777054,1040.419733,4047.639831,-387.789948,2025-05-01
Banco Bineo,3325.28635355,0.0,22.758283379999998,34.83742666,3207.09875986,-455.45077635,2025-05-01
Dondé Banco,3200.975834,196.032766,1639.593571,1850.44196,499.414919,-47.592804,2025-05-01
Credit Suisse,2258.498704,1939.210857,0.0,0.0,2172.810721,-46.474016,2025-05-01
Hey Banco,1568.59165074,0.0,0.0,0.025,1558.189999,37.54826498,2025-05-01
Forjadores,883.37491,0.0,374.434615,231.292613,611.556887,-12.576799,2025-05-01
Pagatodo,347.905536,0.0,0.0,21.809736,308.975297,-34.541483,2025-05-01
Sistema,15599117.54778917,4055668.35220335,7830417.736223709,9135626.10276592,1743785.5449843402,126367.37236724001,2025-05-01
BBVA México,3322036.0666163,610149.8793699599,1992989.5404640601,2083231.94821574,382849.71716032,49443.265192959996,2025-06-01
Santander,1950806.679261,588439.420904,932042.923067,1077295.918622,158890.485616,15658.708659,2025-06-01
Banorte,1886627.7971048001,430204.83338741,1141382.69535894,1210098.5416609999,163319.58272147,23154.87540061,2025-06-01
Banamex,1091590.09961173,397583.60859568,484729.32438397995,746120.07538247,176197.182558,6696.58351684,2025-06-01
